Character,Dialogue,Season,Episode
LUKE,There's no such thing.,5,6
POSTED,11/07/0419:19,5,6
LORELAI,"Oh, no? Did you see Mothman Prophecies?",5,6
LUKE,Yes.,5,6
LORELAI,"Oh, well, okay then. Did you see the sequel?",5,6
LUKE,There's a sequel?,5,6
LORELAI,Yes. It is a heartbreaking saga in which Richard Gere gets a life threatening disease from changing a dirty porch light.,5,6
LUKE,There was no sequel.,5,6
LORELAI,"Well, it's still really gross up there.",5,6
LUKE,How long has it been out?,5,6
LORELAI,"Uh, since Rory broke up with Dean, the first time.",5,6
LUKE,Not the sequel.,5,6
LORELAI,"Yes, he was the last one to change it. Jess never changed the porch light, by the way. Okay, this room is definitely keyless. Kitchen!",5,6
LUKE,You left your keys in the stove?,5,6
LORELAI,"No, my socks.",5,6
LUKE,"Your socks, of course. How naïve of me.",5,6
LORELAI,"It makes them warm and slightly toasty. Huh, that's weird.",5,6
LUKE,What's weird? There's so much to choose from.,5,6
LORELAI,"They're still damp. I followed the recipe. Bake at two-fifty, ten minutes on one side, ten on the other, they should be done by now. Think my oven's broken?",5,6
LUKE,What about your dryer?,5,6
LORELAI,"No, dryer's fine.",5,6
LUKE,I think we should get to the movies.,5,6
LORELAI,"All done, let's go.",5,6
LUKE,Keys!,5,6
LORELAI,"Ah, forget about them. I'll just leave the door unlocked.",5,6
LUKE,You can't leave the door unlocked. That's not safe.,5,6
LORELAI,Sure it is.,5,6
LUKE,Just because you say it's safe doesn't make it safe.,5,6
LORELAI,"If you build it, they will come.",5,6
LUKE,Have you checked out the… Your keys are in the door!,5,6
LORELAI,"Huh, they are? That's right, I had to go in the back way because the porch light was out!",5,6
LUKE,They're stuck.,5,6
LORELAI,"Yeah, that happens. There. You ready?",5,6
LUKE,I can never pick you up here again.,5,6
PARIS,I had a dream about you last night.,5,6
RORY,"If this gets dirty, feel free to keep it to yourself.",5,6
PARIS,"I dreamed that in spite of the fact that you knew I wanted to be assigned the religion beat, you went behind my back to Doyle, cooked him dinner and stole it from me.",5,6
RORY,"It's just a dream, Paris.",5,6
PARIS,"You made veal parmigiana, and it felt very real.",5,6
RORY,"I don't make veal parmigiana. I don't make anything, and I don't want the religion beat. I want features, you know that.",5,6
PARIS,You say you want features –,5,6
RORY,And I mean it.,5,6
PARIS,"Dreams tell you things. It's our subconscious talking to us. Warning us, telling us about things that are happening.",5,6
RORY,Paris –,5,6
PARIS,My dream was telling me that you are stabbing me in the back with your veal parmigiana.,5,6
RORY,Well I must have really overcooked it then.,5,6
PARIS,Let me smell your hands.,5,6
RORY,"Oh, go away!",5,6
PARIS,You used a lot of garlic.,5,6
RORY,Bye.,5,6
PARIS,"Rory, listen to me. We're close, like, friends, and I would hate for something as trivial as competition for the religion beat to come between us.",5,6
RORY,"Oh, my God, I don't want the religion beat!",5,6
PARIS,We could end up like the Van Burens.,5,6
RORY,As in Mr. and Mrs. President?,5,6
PARIS,As in Abby and Ann.,5,6
RORY,Right.,5,6
PARIS,"Sisters in blood, but bitter rivals. They don't even speak anymore.",5,6
RORY,That's ‘cause one of them is dead.,5,6
PARIS,You don't want the religion beat?,5,6
RORY,"Oh! I'm sorry, you meant the religion beat – No! I don't!",5,6
PARIS,"Tenora Thomas was in my dream too, she was pouring the wine – Yo! Tenora! Where's the fire?",5,6
DOYLE,"Hey Rory, did you see this?",5,6
RORY,See what?,5,6
GLENN,It's no big deal.,5,6
DOYLE,Glenn here got himself published in the New York Times.,5,6
RORY,You're kidding!,5,6
GLENN,It's no big deal.,5,6
DOYLE,"It's no big deal, he says.",5,6
RORY,"Oh, but this is the article you wrote about the reprinting of The Anarchist's Cookbook.",5,6
GLENN,It's no big deal!,5,6
RORY,This was in our last issue.,5,6
DOYLE,"The Times picked it up. They do that every now and then, they pick up something and they publish it, and that's what they did with our boy Glenn here.",5,6
GLENN,Please don't pat my back again.,5,6
RORY,"Well, congratulations, Glenn.",5,6
GLENN,"Don't say it loud, people are looking.",5,6
RORY,You should be proud!,5,6
GLENN,"Why, it's not even my best piece.",5,6
RORY,It's still pretty amazing.,5,6
DOYLE,"It is amazing. It's absolutely amazing that I spent all summer in Indiana working my ass off for the Muncie Messenger, and you went from Star Trek Convention to Boba Fett Fan Club Symposium, and yet, lookie here. The New York Times. Isn't that great, Rory? Aren't you seeing how great it is?",5,6
GLENN,"Look! Get off my bus, okay? I don't know why they picked it, I didn't ask them to pick it, I don't even read the New York Times!",5,6
DOYLE,You don't read the New –,5,6
RORY,"Well Glenn, it's great, and we're all just really happy for you.",5,6
GLENN,"Whatever. Oh man, it's R.W. Apple again. God, does he have anyone else to talk to? What?",5,6
DOYLE,It's like Being There. And he's Chauncey Gardiner.,5,6
RORY,"Hey, Doyle, you have to look at it this way. You edited that piece, and if it hadn't been edited well, the Times never would have picked it.",5,6
DOYLE,"Oh. That's a great way to look at it. Thank you! You know, it's because of me that he's going to be Bob Woodward. I made it happen. So, some day when I'm running the circulation desk at the Muncie Messenger and Glenn is accepting his Pulitzer Prize, I can point up at the screen at the local bar where I regularly stop on my way home to get drop dead drunk, and say, ""I helped him get there."" Then I can fall off my stool and throw up. Thank you so much for that, Gilmore. I never would've thought to look at it that way if it hadn't have been for you!",5,6
RORY,Hey Mom.,5,6
LORELAI,"So, how are you? Do you wanna laugh?",5,6
RORY,"Oh, laughing would be good.",5,6
LORELAI,"Luke did the funniest bit before, I thought you would so be –",5,6
LUKE,Would you stop? I did not do a bit.,5,6
LORELAI,What are you talking about? The bit! It was a riot.,5,6
LUKE,It wasn't a bit! I banged my head on the stove and it hurt like hell.,5,6
LORELAI,"No… no, you said it funnier before. Do it again!",5,6
LUKE,"I told you, I never did it in the first place. You did it, it's your bit.",5,6
LORELAI,How could it be my bit when it's your head in the oven?,5,6
LUKE,"Exactly. My head, my conk, no bit.",5,6
RORY,"Mom, just wondering, did you call for any particular reason?",5,6
LORELAI,"Just checking in, seeing how you're doing. How are you doing?",5,6
RORY,I'm fine.,5,6
LORELAI,"Aw, what's wrong?",5,6
RORY,What makes you think something's wrong?,5,6
LORELAI,You've got Bambi voice.,5,6
RORY,I do not have Bambi voice.,5,6
LORELAI,"Spill, please.",5,6
RORY,I'm just… really behind.,5,6
LORELAI,Behind what?,5,6
RORY,"I'm behind at the paper. Way, way behind at the paper. Everyone else had these amazing, productive summer s. Internships at hometown papers, getting articles reprinted in the New York Times, and me, the person who's been talking about being a journalist her entire life, what did I do? I wasted two whole months running away to Europe with Grandma.",5,6
LORELAI,"Whoa, slow down. First of all, Europe – waste? You had major invaluable experiences, the architecture, the food, seeing my mother without her makeup on in the morning.",5,6
RORY,"But this is the time for work, for learning. I didn't even consider and internship anywhere, I was so wrapped up in my own personal… whatever. I can't believe I did this.",5,6
LORELAI,"Well, okay, let's take a step back here. You say you're behind –",5,6
RORY,I am behind.,5,6
LORELAI,"- so, you'll catch up.",5,6
RORY,You say that like it's easy.,5,6
LORELAI,"No, I say that like it's what you're going to do. You've done it before. You were behind at Chilton – you rememb er? And then you hit a deer, and everything was fine.",5,6
RORY,The two incidents were in no way connected.,5,6
LORELAI,"But you caught up, right?",5,6
RORY,"That was high school. This is college, a very big, important college.",5,6
LORELAI,"Okay, different school, but same Rory. You're great at the catch up thing, you're the ""catch up girl"" – not to be confused with ""ketchup girl"", ‘cause that's not you at all. You were strictly a mustard and relish girl from day one – there's a little condiment humor for ya.",5,6
RORY,I'm really going to have to work – constantly. Maybe I'll have to look for something part-time at a local paper.,5,6
LORELAI,"Good, that's good… Or you could work for a fishmonger.",5,6
RORY,What?,5,6
LORELAI,‘Cause there's lots of newspapers there.,5,6
LUKE,"- Ow! Geez! What the – Doh! Lorelai : He did it! He did the bit! Luke, do it again. Do it louder for Rory.",5,6
RORY,"Hey, Mom?",5,6
LORELAI,Yeah?,5,6
RORY,You sound happy.,5,6
LORELAI,"I am, kid.",5,6
LUKE,What? [,5,6
DRAGONFLYINN,dining room],5,6
STEPHEN,"Mr. Mailer, it's just such a great honor to be doing this interview, so I just want to thank you.",5,6
NORMANMAILER,Can I give you a tip?,5,6
STEPHEN,"Yes, sir.",5,6
NORMANMAILER,"I wouldn't start that way for a simple reason – I don't trust compliments. I've been getting them for years. Sometimes I deserve them, sometimes I didn't. But generally when people give you compliments there's one of two things wrong with them. Either they're false, or what's worse is they're sincere. They really mean the compliment. And then they're offering you their loyalty. And I'm kind of a stingy… Well, I don't necessarily want to give all that loyalty back. So either way, let's skip the compliments.",5,6
STEPHEN,"Let's talk about, uh, what are you working on now?",5,6
NORMANMAILER,"I'm gonna say no to you, I can't tell you what I'm working on. A novel is like a secret affair, you don't bring other people in on it. [",5,6
DRAGONFLYINN,kitchen],5,6
LORELAI,"Norman Mailer's back, for the third time this week!",5,6
SOOKIE,"Yep, sure is.",5,6
LORELAI,"This is so exciting. I've got to call and tell Rory. You know, she read The Naked and the Dead while she was still wearing footsie pajamas.",5,6
SOOKIE,Chicken's burning!,5,6
LORELAI,"This is our first step on the road to being Solon. I mean, as soon as word gets out that Norman Mailer is having lunch at the Dragonfly, it's just a matter of time before the rest of the literati comes sweeping in.",5,6
SOOKIE,Sounds great.,5,6
LORELAI,"So, of course, we'll have to keep Gore Vidal on the other side of the room, but, you know, probably Gabriel Garcia Marquez will run interference for us – Sookie : Butter bath, boys, butter bath!",5,6
LORELAI,Are you okay?,5,6
SOOKIE,"Sure. And I'm thrilled and delighted that Norman Mailer is coming in here every day and sitting at a table for four and ordering nothing at all, but tea!",5,6
LORELAI,Tea?,5,6
SOOKIE,Iced tea. Glass after glass after glass!,5,6
LORELAI,I'm sure he orders more than iced tea.,5,6
SOOKIE,"Are you, now?",5,6
LORELAI,"All right, you make great iced tea. I mean, legendary, so can you blame him?",5,6
SOOKIE,"All I know is when Billy Joel came in to the Independence Inn he would pack it away. Appetizers! Main course! Two, three desserts! That was a man that knew how to eat! And he was almost able to hide it.",5,6
LORELAI,"Yes, but have you ever read his novels?",5,6
SOOKIE,"This is a restaurant, not a coffee shop.",5,6
LORELAI,"Come on, Sookie, this is fun! We're the cool place where Norman Mailer likes to hang. It'll give us street cred, you'll see.",5,6
SOOKIE,Fine.,5,6
WAITER,We need some mo re iced tea.,5,6
SOOKIE,"Gee, I wonder who that's for?",5,6
DOYLE,"Lena, economic development. Seng, Woodbridge Hall. Benji, legal issues. Paris, religion beat.",5,6
PARIS,"Me? Really? Huh, I hadn't thought. All right.",5,6
DOYLE,"Jerry, city arts; Rory, features; Glenn, crime.",5,6
DOYLE,"What, Glenn, you don't want crime?",5,6
GLENN,"I don't care. Maureen Dowd told me it's all the same, not that that flirt has any idea what she's talking about.",5,6
DOYLE,"All right, that's it. Congratulations if you got what you wanted, and if you didn't, I couldcare less. Get cracking.",5,6
RORY,Thank you so much for features beat. I can't tell you how excited I am.,5,6
DOYLE,And please don't try.,5,6
RORY,"No, I'm gonna kick butt. You just wait and see.",5,6
DOYLE,"You're a reporter now, Gilmore. You've gotta learn to say ass.",5,6
RORY,"I'll work on that. Hey, listen, um, I have about a million ideas for my first story, so I was wondering if I could run some of them by you, see what you think?",5,6
DOYLE,Two minutes. Go.,5,6
RORY,"Okay, well, first I thought I could do an update on unionizing the janitorial staff, you know, a classic power struggle; haves versus the have-nots.",5,6
DOYLE,Okay.,5,6
RORY,"Or – and I already have the headline for this one – ""Yale's Liberal",5,6
ACTIVISTNETWORK,"A thing of the past?""",5,6
DOYLE,"Catchy,",5,6
CATCHYRORY,"Then there's the issue of illegal music downloading on campus, which I imagine is a major –",5,6
DOYLE,Oh no.,5,6
RORY,What?,5,6
DOYLE,He's back.,5,6
LOGAN,"Doyle, my friend. You're looking very, very well, how ya been?",5,6
DOYLE,"I've been great, Logan. Great to have you back.",5,6
LOGAN,"Yeah, well, I stayed away as long as I could, but the Yale Daily News called to me.",5,6
DOYLE,"Oh, sure. So how's everything? How's the family?",5,6
LOGAN,"Everything's fine, the family's the family… Ah, my desk. Beautiful.",5,6
DOYLE,"Um, you know, Logan, I didn't know exactly when you were coming back, and I gave out the beats.",5,6
LOGAN,"That's fine, Doyle, I'll take whatever you've got left.",5,6
DOYLE,"Actually, there's none left.",5,6
LOGAN,"Perfect, just the one I wanted. Relax, Doyle. I'm just here for the pretty picture in my father's head. I'm not going to be any trouble at all.",5,6
DOYLE,"Oh, Logan, please. You, trouble? Stop. We're just glad to have you here.",5,6
LOGAN,"Careful, boy, you might hurt yourself, kid. Better get back to work, right boss? Rory, nice to see you.",5,6
DOYLE,You know Logan? How do you know Logan?,5,6
RORY,"No, I don't know him, I met him. A friend introduced us.",5,6
DOYLE,So you're not friends.,5,6
RORY,"No, definitely not friends. Doyle : That guy's a real piece of work. He took last year off with a bunch of his friends. He was going to sail Daddy's yacht around till he sank it.",5,6
RORY,He sank his father's yacht?,5,6
DOYLE,Right off of Fiji. They spent six months of gallivanting and partying and God knows what in there till Daddy sent one of his planes to bring him back.,5,6
RORY,I'm guessing his father's rich.,5,6
DOYLE,His father's Mitchum Huntzberger.,5,6
RORY,Mitchum Huntzberger? The newspaper guy?,5,6
DOYLE,The newspaper magnet. The man owns at least twelve different papers. I've spent two years kissing Logan's butt.,5,6
RORY,Don't you mean ass?,5,6
DOYLE,"Whatever. Guess it's time to pucker up again. Man, I hate those kind of guys.",5,6
RORY,What kind of guys?,5,6
DOYLE,"Those privileged, white males.",5,6
RORY,"Doyle, you're a privileged white male.",5,6
DOYLE,"Well, he's more privileged. And way more whiter. Why am I talking to you? Meg, why am I talking to Gilmore?",5,6
RORY,My story – we were picking a story.,5,6
DOYLE,"Right. Well, they all sound fine to me.",5,6
RORY,Then I think I'll go with the downloading story.,5,6
DOYLE,Good. Go with your gut. And get to work.,5,6
LOGAN,"Hello, city desk? Smitty here, take this down. I got a hot scoop on a tall blonde and I gotta put it to bed on the double! [",5,6
DRAGONFLYINN,dining room],5,6
STEPHEN,How do you see your position in American letters?,5,6
NORMANMAILER,"I'm eit her the best, or I'm not. And I have no idea. And in fact I don't even worry about it anymore, because it doesn't matter whether you think you're the best, there are twenty of us around. Twenty American writers right now – I could name them but I won't – who think they're the best living American writer. And I'm one of those twenty. On the other hand, I don't want to make friends with some of those guys, because they're b*stards.",5,6
STEPHEN,"Okay, so who is your favorite author of all time? Sookie : So, how are we doing over here? NORMAN MAILER : We're fine.",5,6
SOOKIE,"Hey, you know what goes great with iced tea? Pork tenderloin!",5,6
STEPHEN,"Maybe later, thanks. Sookie; We have a great menu here. I'm holding a couple as we speak.",5,6
NORMANMAILER,"We're fine, thank you.",5,6
SOOKIE,"Okay. Hey, I don't know if the waiter told you, but today is Wednesday. And on Wednesday at the Dragonfly we play a little something I like to call ""Stump the chef""! Which is me. And the way we play is that you name an y dish in the world and I will make it for you, and if I don't know what it is, then you get your lunch completely free!",5,6
NORMANMAILER,What the devil is she talking about?,5,6
STEPHEN,"Actually, you know what, could we have some lemon for the iced tea?",5,6
SOOKIE,"Lemon? ... oh, sure. One plate of lemon coming up. If you change your mind, I'll be in the kitchen. You know, with the food. [Rory's",5,6
DORMROOM,"common room] Rory : I already have a ton of data and pages of research and, ooh, the best thing is, Nancy, this girl on the fourth floor, her father was the guy who ran security at the gallery when Lars Ulrich sold all his art and he said he would try to get him on the phone for an interview and I've gotta breathe now.",5,6
DEAN,I think that was a record.,5,6
RORY,"So what do you think? You think it sounds big enough, important enough?",5,6
DEAN,"Yes, I do.",5,6
RORY,"I think so too. I feel very, very good about this, Forester.",5,6
DEAN,"Excellent to hear, Gilmore.",5,6
PARIS,"Monsignor, why is my asking you keep your cell on vibrate during mass in case I need to fact check a quote outrageous? Rabbi Feldman's doing it for me on Shabbat and he's flying against the Talmud there.",5,6
DEAN,"So, when do I get to read this story of yours?",5,6
RORY,"Well, I figured I'll finish a rough draft in time for our date tomorrow night. So you can have a romantic night of proofreading. Huh? Pretty hot, don't ya think?",5,6
DEAN,"Yeah, listen -",5,6
RORY,I'm kidding; you don't have to read it. I'll read it to you.,5,6
DEAN,I have to work tomorrow night.,5,6
RORY,What?,5,6
DEAN,Sorry.,5,6
RORY,But it's Thursday. Since when do you work on Thursday?,5,6
DEAN,Since Taylor decided to cash in on the 24-hour trucker crowd.,5,6
RORY,What trucker crowd?,5,6
DEAN,The trucker crowd off Highway 84.,5,6
RORY,Since when does the trucker crowd off Highway 84 come through Star's Hollow?,5,6
DEAN,Since we installed an icy machine.,5,6
RORY,Wow.,5,6
DEAN,Yep. I'm stuck here pulling the new shifts until we see how it's catching on.,5,6
RORY,Sounds rough.,5,6
DEAN,"Yeah. You haven't lived until you've heard Taylor belt out ""Stand by Your Man"".",5,6
RORY,You deserve hazard pay.,5,6
DEAN,I've already submitted for it.,5,6
RORY,"So, no tomorrow night. Bummer . How about Saturday?",5,6
DEAN,"Saturday I'm here. Uh, what about next week? I've got Tuesday and Wednesdays off.",5,6
RORY,"I have this article, and I'm already behind on my reading. Next weekend?",5,6
DEAN,Going to Maine for my grandparent's wedding anniversary.,5,6
RORY,"Well, it was nice knowing ya.",5,6
DEAN,Way to stand by your man.,5,6
RORY,"So I guess that's week after next, huh?",5,6
DEAN,"Yeah, I guess so.",5,6
RORY,I turn in my article on that Monday.,5,6
DEAN,Monday night it is.,5,6
RORY,They say absence makes the heart grow fonder.,5,6
DEAN,Yeah. Sex can do that also.,5,6
RORY,"Amen, brother.",5,6
DEAN,"Okay, I've got to go. You have to stir the nacho cheese every twenty minutes or it forms kind of a rock.",5,6
RORY,Go stir the cheese.,5,6
DEAN,Call you tomorrow.,5,6
RORY,Okay. Bye.,5,6
PARIS,Did you know that priests have a fabulous sense of humor?,5,6
RORY,Just stay one lightning bolt's length away from me at all times please.,5,6
PARIS,You want to go check out some M ormon bingo around 5th?,5,6
RORY,No thanks.,5,6
PARIS,How's your article coming?,5,6
RORY,Very good.,5,6
PARIS,Good. So you must have found a new angle on it. Right?,5,6
RORY,Right. New angle.,5,6
PARIS,"Yeah. Downloading stories are everywhere and they all say exactly the same thing. Downloading's up, CD sales are down, but up from last year. It's not hurting the music industry but the music industry's hurting. Blah, blah, blah. You know. It always seems like there's got to be more to it than that, but there never is. But, you have a fresh angle. So good.",5,6
RORY,Yeah. Good.,5,6
PARIS,"Okay. I'll be back late. If Rabbi Feldman calls, tell him I got the stats from Edward James Olmos' office, so I'm good. Bye.",5,6
RORY,"Yeah, bye. [",5,6
DRAGONFLYINN,office],5,6
ANN,"What's this? Never mind, I see the noted pink, thank you Lorelai.",5,6
LORELAI,You're welcome.,5,6
ANN,"Okay. I see a lot of growth this month. The initial drop off, which we all knew was going to happen after the opening has sort of settled and you're doing a good seventy to seventy-five percent occupancy, which is pretty good.",5,6
LORELAI,"Yeah, and the holidays are coming up, we're booked solid the last three weeks of November.",5,6
ANN,Well that's all positive news. So let's just talk about the couple of things we can do to help till then.,5,6
LORELAI,"So, we need help?",5,6
ANN,"Well, yeah. Some. It's the first year, and you're going to building the business so there's not a lot of profit right now, and personally I'd feel better if we could just lighten some of the financial load.",5,6
SOOKIE,Financial load.,5,6
LORELAI,That sounds bad.,5,6
MICHEL,I could put in for overtime and I don't.,5,6
ANN,"Look, you need to get some of these burdens off you. For example, lunch.",5,6
SOOKIE,What about lunch?,5,6
ANN,"Well, breakfast seems to be breaking even, and you're doing fine with dinner but, lunch?",5,6
SOOKIE,"What about lunch, Ann?",5,6
ANN,You're hemorrhaging money at lunch. You have a full staff for a basically empty dining room. I think it might be a good idea to drop lunch until you get your occupancy rate up higher and –,5,6
SOOKIE,"Drop lunch, did she say drop lunch?",5,6
LORELAI,Just until we get our occupancy rates up a little higher.,5,6
ANN,A lot higher.,5,6
SOOKIE,I don't understand. That's the only thing we can do?,5,6
ANN,Well –,5,6
SOOKIE,"I mean, I just think it's extremely coincidental that the only thing we can do to save the inn is to get rid of lunch.",5,6
LORELAI,"Well, I'm sure it's not the only thing.",5,6
SOOKIE,"I mean, lunch is my thing. Why do we have to get rid of one of my things? Why can't we get rid of one of Michel's things?",5,6
MICHEL,What things? I stand behind a desk and answer a phone. What of mine can you possibly get rid of?,5,6
SOOKIE,The desk! Put the phone on the wall!,5,6
MICHEL,What?,5,6
SOOKIE,"And write on your shoe, because he goes through a lot of paper.",5,6
LORELAI,"Okay! Ann, would you just, uh…",5,6
SOOKIE,It's not fair! It's not fair that everybody else gets to keep their thing and I have to get rid of my lunch.,5,6
LORELAI,"Sookie, Ann's just trying to help.",5,6
SOOKIE,"Oh, Ann hates me.",5,6
ANN,"No, I don't!",5,6
LORELAI,"Okay, Ann, how would you like to go in the kitchen and get yourself a cup of coffee?",5,6
ANN,I don't hate her.,5,6
LORELAI,I know. Michel can you get Ann some coffee?,5,6
MICHEL,"Oh, absolutely. And then I'll go hang my phone on the wall. Oh, I have to tell you, looking good is so important when you represent the face of the company. I mean, I am the first thing that a customer sees when they walk through that door.",5,6
ANN,"Your suits are not a deduction, Michel.",5,6
LORELAI,What are you doing?,5,6
SOOKIE,She's taking my lunches away.,5,6
LORELAI,She's trying to help us.,5,6
SOOKIE,"This is all Norman Mailer's fault. He just sits around, ordering nothing and yammering on and on and on. I mean, so he was married to Marilyn Munroe. Who wasn't?",5,6
LORELAI,That was Arthur Miller.,5,6
SOOKIE,I'm going to kick him and pinch his nose.,5,6
LORELAI,"Hey, get a grip. Sookie, we're trying to launch a business here.",5,6
SOOKIE,The restaurant is part of the business.,5,6
LORELAI,I know.,5,6
SOOKIE,And cutting out lunch is not the…,5,6
LORELAI,"Temporarily cutting out lunch. Temporarily. Just until things perk up, which they will, and when they do, the lunches will go back, just like before. Sookie? Okay?",5,6
SOOKIE,Fine.,5,6
LORELAI,Just give it time.,5,6
SOOKIE,Mmhmm.,5,6
LORELAI,"And we're going to leave Mr. Mailer alone, right? ‘Cause I don't care how old he is, he can take you.",5,6
SOOKIE,I know. [,5,6
YALEDORMS,an unfamiliar common room.],5,6
LEN,"So, we're booted up, and we're searching the network for other clients, right? And then you enter the album you want in this search field, right? Let's say, it's the new Interpol, you heard it?",5,6
RORY,I think so.,5,6
LEN,"A little less joy divisioning this time, more Nick Cave got mugged by Paul Whiler with some Seventeen Seconds Eric Cura thrown in. But anyway, for better quality you choose the file with the highest bit rate. It's a trade off ‘cause it's a bigger file size. The lower the bit rate, the smaller the file, but lower quality. Got that?",5,6
RORY,"Higher smaller, lower larger.",5,6
LEN,"Higher larger, lower smaller. Ooh, check this out. I can download a band's entire catalog with the push of a button. I'm gonna take down all twenty-two Chicago albums, boo-ya! There's Chicago One, Chicago Two, Chicago Three, Chicago Four… neat, huh?",5,6
RORY,Yeah. Really neat.,5,6
LEN,"Chicago nine, Chicago ten… I hate Chicago. Use a trombone, go to jail. But, my goal is to get it all, from Abba to Zappa. There's the Christmas album.",5,6
RORY,"Um. Okay, that's really fascinating stuff, but let me ask you, do you still buy CD's?",5,6
LEN,Yeah.,5,6
RORY,Mmhm. Anything to add to that?,5,6
LEN,"CD sales are up this year, you hear about that?",5,6
RORY,Yes I did.,5,6
LEN,"Down last year, up this year. Weird. Oh cool. Here's a 1986 bootleg of Chicago Live at the Cumberland Civic Center at Portland and Maine, boo-ya!",5,6
RORY,"So, Len, tell me ab out when… er, ah… if…",5,6
LEN,Yeah?,5,6
RORY,"Oh, I just, I lost my train of thought.",5,6
LEN,I hate that.,5,6
RORY,"You know what, I think I'm going go get a cup of coffee. Coffee sounds good. I'll be back in a minute.",5,6
LEN,I'll be here. [,5,6
YALEDORMS,Ladies washroom],5,6
GORILLAGIRL,Oops! Didn't see you there. Shhh. [,5,6
YALEDORMS,Outside],5,6
GORILLAGIRL,In Omnia Paratus!,5,6
LORELAI,"Oh boy. Okay, hold on. I get it, you're ringing. Howdy ma'am. Hold on, hold on, hold on. Yes, hi, hello.",5,6
CHRIS,Lor!,5,6
LORELAI,Chris?,5,6
CHRIS,I can't get her to stop.,5,6
LORELAI,Stop what?,5,6
CHRIS,"Crying, screaming. She's not hot, there's no fever, and I can't get her to eat.",5,6
LORELAI,"We're talking about Gigi, right?",5,6
CHRIS,Yes!,5,6
LORELAI,"Okay, ‘cause, you know, Sherry's really thin, so I -",5,6
LORELAI,Are you sure she's not hot?,5,6
CHRIS,"No, I already checked. I don't know what to do. She's everywhere. She won't sit still, she keeps climbing out of her crib, she's moving really fast…",5,6
LORELAI,"Oh, Chris, honey, calm down. Where's Sherry?",5,6
CHRIS,"She's not here, she's out again.",5,6
LORELAI,When is she getting home?,5,6
CHRIS,"I don't know what to do. I didn't know who to call, the nanny is not answering her pager, and Sherry's friends, they don't have kids or like kids, I just…",5,6
LORELAI,"I'll be right there. Ah, bye.",5,6
CHRIS,I owe you so big.,5,6
LORELAI,"Wow, you look, uh, great. Huh. How long ago did Axl Rose leave?",5,6
CHRIS,"Yeah, the, uh, place is kind of a mess, I tried to clean up earlier but she keeps climbing out of the crib, if she's not climbing, she's screaming… I really don't know what to do here. I mean, I keep thinking she's hungry but she won't eat, and – Oh, crap. There she goes again. C'mon, Gig, let's go back in the crib, huh?",5,6
LORELAI,"You tell him, girlfriend.",5,6
CHRIS,She hasn't slept. She hasn't slept for days.,5,6
LORELAI,I'm guessing that makes two of you.,5,6
CHRIS,"Yeah, well… C'mon, Gig, just a little sleep, huh?",5,6
LORELAI,"Um, Chris, where is Sherry?",5,6
CHRIS,"She's, uh, away. Oh, c'mon, seriously Gigi. Five hundred bucks if you stay in there for ten minutes.",5,6
LORELAI,"Hold out, kid, you've got him on the ropes now.",5,6
CHRIS,She doesn't need your help.,5,6
LORELAI,"No, she doesn't. Just… come here. Hi! Oh, wow! I hear strained spinach is the new pink!",5,6
CHRIS,It's okay…,5,6
LORELAI,There you go.,5,6
CHRIS,That's it?,5,6
LORELAI,Yeah.,5,6
CHRIS,"You mean, she's going to stay in there?",5,6
LORELAI,"Yeah, until her hair grows long enough for the prince to shimmy up. Come on.",5,6
CHRIS,"Oh, God, I am so sorry, Lor.",5,6
LORELAI,"Oh, for what?",5,6
CHRIS,"Well, I hardly ever call you, or Rory, but the minute I'm in trouble…",5,6
LORELAI,"Well, that's what we're here for.",5,6
CHRIS,"Yeah. Well, I've been traveling so much, and then I get home to this, and I didn't know what to do. I swear, I didn't know what to do.",5,6
LORELAI,Chris.,5,6
CHRIS,Yeah?,5,6
LORELAI,Where is Sherry?,5,6
CHRIS,Sherry is in Paris.,5,6
LORELAI,"Wow, lucky girl. When does she get back?",5,6
CHRIS,She's not.,5,6
LORELAI,She's…,5,6
CHRIS,"I got home from Seattle, and the nanny was here and she handed me a note. It said that Sherry had been offered a job in Paris and she had decided to take it.",5,6
LORELAI,What?,5,6
CHRIS,"She said she had put her career on hold for almost two years. She said that I had been gone for most of that time, which, I guess is true, and she wasn't going to let this opportunity pass. She said it was my turn, she was sorry, but that she had to do this – for her.",5,6
LORELAI,Wow.,5,6
CHRIS,Yeah.,5,6
LORELAI,I'm stunned.,5,6
CHRIS,Pretty much my same reaction.,5,6
LORELAI,"But Gigi – she just takes off on Gigi?... Okay, well. You smell as good as you look.",5,6
CHRIS,I haven't showered since Seattle.,5,6
LORELAI,"Really, well, I'm hot. Okay, um, how about this for a plan. You – go take a shower. And I will, um, order some food and start to clean up and then we'll –",5,6
CHRIS,"Hey, I can't do this.",5,6
LORELAI,"Do what? Shower? Oh, you've done it before. Just turn the water on, step in. Oh, no wait, remove clothes, then step in.",5,6
CHRIS,I can't raise her. I cannot raise her all by myself.,5,6
LORELAI,Yes you can.,5,6
CHRIS,What makes you think so?,5,6
LORELAI,"Because you have to, Chris. She's your daughter, and you're going to find a way. I did. I didit with Rory.",5,6
CHRIS,"Oh, you're different.",5,6
LORELAI,"Yes, I was sixteen.",5,6
CHRIS,"No, you're different, I mean, you're special. You're stronger. You're like a superhero with red boots and a golden lasso.",5,6
LORELAI,"That was one Halloween, Christopher.",5,6
